[229, 494, 229, 533, 21, 533, 229, 533, 133, 296, 229, 296, 133, 273, 133, 296, 21, 494, 21, 533, 21, 78, 21, 273, 21, 78, 130, 78, 130, 78, 229, 78, 229, 78, 229, 189, 130, 78, 130, 189, 229, 246, 229, 296, 229, 296, 229, 494, 229, 189, 229, 246, 130, 189, 229, 189, 130, 246, 229, 246, 21, 494, 229, 494, 133, 246, 133, 273, 21, 273, 133, 273, 21, 273, 21, 494, 130, 189, 130, 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[130, 147, 130, 182, 130, 193, 130, 235, 150, 296, 196, 296, 66, 78, 119, 78, 26, 494, 151, 494, 70, 273, 119, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];300140;"218462
"
[389, 18, 389, 531, 27, 531, 389, 531, 183, 18, 183, 223, 27, 223, 183, 223, 337, 274, 337, 302, 237, 302, 337, 302, 27, 18, 27, 531, 27, 18, 390, 18, 337, 274, 389, 274, 284, 123, 284, 226, 284, 123, 390, 123, 183, 175, 237, 175, 237, 175, 237, 531, 237, 328, 389, 328, 237, 226, 390, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[182, 21, 182, 177, 389, 61, 389, 92, 235, 177, 235, 215, 31, 250, 31, 528, 237, 330, 379, 330, 185, 176, 237, 176, 246, 224, 278, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];83068;"66225
"
[87, 59, 87, 85, 68, 85, 87, 85, 128, 221, 128, 393, 5, 393, 128, 393, 5, 221, 5, 393, 6, 59, 6, 76, 6, 59, 43, 59, 87, 59, 128, 59, 128, 59, 128, 221, 43, 59, 65, 59, 43, 59, 43, 70, 67, 59, 87, 59, 67, 59, 67, 70, 65, 59, 65, 76, 63, 152, 63, 194, 63, 194, 63, 221, 6, 194, 63, 194, 63, 83, 63, 152, 6, 152, 63, 152, 63, 221, 128, 221, 67, 70, 67, 83, 63, 76, 63, 83, 43, 76, 63, 76, 43, 70, 67, 70, 5, 221, 63, 221, 43, 70, 43, 76, 6, 76, 43, 76, 5, 194, 5, 221, 6, 76, 6, 152, 6, 152, 6, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[63, 164, 63, 190, 87, 59, 87, 81, 93, 221, 124, 221, 46, 59, 68, 59, 89, 59, 123, 59, 32, 152, 57, 152, 46, 393, 124, 393, 8, 221, 61, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];98607;"78450
"
[547, 9, 547, 215, 485, 215, 547, 215, 53, 214, 154, 214, 53, 163, 53, 214, 53, 10, 53, 112, 53, 10, 79, 10, 53, 163, 154, 163, 154, 163, 154, 214, 485, 9, 547, 9, 79, 10, 154, 10, 79, 10, 79, 112, 154, 10, 232, 10, 154, 10, 154, 112, 281, 9, 485, 9, 281, 9, 281, 112, 232, 9, 281, 9, 485, 9, 485, 214, 232, 9, 232, 112, 281, 112, 281, 214, 232, 112, 281, 112, 154, 112, 232, 112, 79, 112, 154, 112, 154, 214, 281, 214, 281, 214, 485, 214, 53, 112, 79, 112, 53, 112, 53, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[281, 18, 281, 105, 53, 118, 53, 159, 281, 116, 281, 159, 154, 61, 154, 110, 485, 61, 485, 166, 112, 163, 151, 163, 344, 214, 393, 214, 168, 112, 200, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];51801;"44306
"
[212, 228, 212, 414, 211, 110, 211, 127, 272, 230, 311, 230, 176, 6, 176, 201, 107, 201, 176, 201, 175, 240, 175, 312, 146, 312, 175, 312, 312, 6, 312, 414, 211, 414, 312, 414, 107, 6, 107, 201, 146, 238, 146, 312, 127, 19, 176, 19, 127, 6, 127, 19, 117, 140, 176, 140, 117, 110, 117, 140, 146, 238, 211, 238, 107, 6, 311, 6, 299, 192, 299, 230, 299, 192, 311, 192, 160, 201, 160, 240, 159, 312, 159, 365, 141, 140, 141, 201, 159, 365, 312, 365, 107, 110, 311, 110, 107, 59, 176, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[174, 260, 174, 307, 143, 149, 143, 172, 177, 27, 177, 53, 311, 283, 311, 311, 312, 62, 312, 89, 176, 122, 176, 180, 311, 154, 311, 181, 176, 363, 208, 363, 211, 7, 276, 7, 180, 110, 209, 110, 224, 365, 285, 365, 150, 144, 174, 144, 147, 112, 174, 112, 177, 242, 206, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];94245;"74710
"
[157, 5, 157, 23, 27, 88, 70, 88, 158, 172, 158, 319, 27, 319, 158, 319, 9, 59, 27, 59, 9, 31, 9, 59, 92, 23, 92, 59, 92, 23, 157, 23, 9, 31, 43, 31, 43, 31, 43, 59, 125, 106, 157, 106, 125, 106, 125, 149, 92, 106, 125, 106, 27, 59, 43, 59, 27, 59, 27, 88, 157, 23, 157, 106, 157, 106, 157, 149, 158, 149, 158, 172, 92, 172, 158, 172, 125, 149, 158, 149, 92, 59, 92, 106, 43, 59, 92, 59, 92, 149, 125, 149, 92, 149, 92, 172, 27, 172, 92, 172, 92, 106, 92, 149, 27, 88, 27, 172, 27, 172, 27, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[92, 77, 92, 101, 19, 31, 40, 31, 101, 106, 122, 106, 34, 319, 127, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];100863;"79605
"
[305, 91, 305, 181, 88, 181, 305, 181, 522, 91, 522, 580, 251, 580, 522, 580, 88, 581, 178, 581, 88, 181, 88, 581, 178, 504, 178, 581, 178, 504, 251, 504, 88, 17, 88, 181, 88, 17, 305, 17, 305, 17, 522, 17, 522, 17, 522, 91, 251, 504, 251, 581, 305, 17, 305, 91, 305, 91, 522, 91, 178, 581, 251, 581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[88, 477, 88, 551, 522, 145, 522, 392, 219, 181, 297, 181, 417, 91, 517, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];74224;"60432
"
[415, 126, 415, 193, 352, 193, 415, 193, 353, 290, 353, 491, 212, 491, 353, 491, 328, 290, 352, 290, 328, 279, 328, 290, 289, 193, 352, 193, 289, 170, 289, 193, 79, 491, 212, 491, 79, 432, 79, 491, 252, 279, 328, 279, 252, 170, 252, 279, 79, 41, 79, 215, 79, 41, 212, 41, 352, 42, 415, 42, 415, 42, 415, 126, 252, 170, 289, 170, 168, 215, 212, 215, 168, 215, 168, 249, 79, 215, 168, 215, 212, 41, 252, 41, 212, 41, 212, 83, 273, 42, 352, 42, 273, 42, 273, 83, 252, 42, 273, 42, 252, 42, 252, 83, 212, 170, 252, 170, 352, 42, 352, 126, 352, 193, 352, 279, 328, 279, 352, 279, 352, 126, 415, 126, 352, 279, 352, 290, 212, 249, 212, 432, 212, 432, 212, 491, 79, 432, 212, 432, 212, 215, 212, 249, 168, 249, 212, 249, 212, 170, 212, 215, 273, 83, 273, 126, 252, 83, 273, 83, 273, 126, 352, 126, 212, 126, 273, 126, 79, 249, 168, 249, 212, 83, 252, 83, 212, 126, 212, 170, 212, 83, 212, 126, 79, 215, 79, 249, 79, 249, 79, 432, 0, 0, 0, 0, 0, 0, 0, 0];[252, 202, 252, 244, 212, 132, 212, 163, 212, 45, 212, 79, 79, 134, 79, 167, 352, 88, 352, 117, 212, 254, 212, 422, 212, 218, 212, 249, 79, 308, 79, 341, 220, 170, 252, 170, 362, 193, 396, 193, 369, 42, 386, 42, 249, 126, 275, 126, 259, 491, 312, 491, 104, 432, 181, 432, 84, 249, 163, 249, 119, 41, 210, 41, 314, 126, 349, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];39003;"33696
"
[26, 853, 204, 853, 194, 808, 194, 838, 26, 838, 194, 838, 416, 1193, 416, 1363, 26, 1363, 416, 1363, 317, 319, 416, 319, 317, 297, 317, 319, 160, 235, 212, 235, 160, 204, 160, 235, 26, 1193, 26, 1363, 26, 174, 26, 242, 26, 174, 160, 174, 317, 297, 409, 297, 160, 174, 409, 174, 409, 174, 409, 297, 160, 204, 220, 204, 160, 174, 160, 204, 212, 242, 212, 445, 212, 445, 212, 558, 26, 445, 212, 445, 26, 558, 212, 558, 416, 319, 416, 1193, 26, 1193, 416, 1193, 212, 235, 212, 242, 26, 242, 212, 242, 26, 242, 26, 445, 26, 445, 26, 558, 26, 558, 26, 808, 26, 853, 26, 1193, 26, 838, 26, 853, 26, 808, 194, 808, 26, 808, 26, 838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[212, 450, 212, 553, 212, 339, 212, 436, 208, 561, 208, 799, 39, 808, 185, 808, 243, 174, 344, 174, 197, 174, 229, 174, 166, 1193, 406, 1193, 38, 838, 184, 838, 45, 853, 184, 853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];96370;"76533
"
[529, 627, 529, 847, 378, 847, 529, 847, 232, 27, 232, 318, 3, 318, 232, 318, 681, 627, 681, 1681, 3, 1681, 681, 1681, 454, 329, 680, 329, 454, 27, 454, 329, 3, 318, 3, 774, 378, 627, 378, 847, 378, 627, 529, 627, 232, 27, 454, 27, 454, 27, 680, 27, 680, 27, 680, 329, 3, 774, 223, 774, 223, 774, 223, 847, 529, 627, 680, 627, 680, 329, 680, 627, 223, 847, 378, 847, 3, 774, 3, 1681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[232, 96, 232, 242, 680, 412, 680, 473, 378, 350, 378, 842, 478, 329, 590, 329, 146, 1681, 478, 1681, 228, 847, 378, 847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];50557;"42568
"
