max_number;door_length;wall_length;area;nb_door;nb_wall;cooling;heating
983;498;3534;4000;4;18;37456;331
524;1229;3882;12000;19;40;187260;1406
422;194;1520;6000;6;20;51565;439
321;190;1026;6000;7;20;53944;461
475;620;3236;14000;15;56;441823;3171
1320;1149;6917;12000;12;47;194999;1470
988;1403;4878;8000;9;26;76606;629
217;340;1325;12000;14;40;196903;1466
670;682;3811;9000;8;32;95017;756
456;1002;3535;10000;22;44;115829;908
344;412;2046;6000;9;23;52318;443
441;500;2383;8000;11;26;80297;640
477;653;3045;12000;13;36;179360;1354
381;669;2358;12000;13;36;187908;1412
391;583;2019;10000;13;34;112564;877
626;329;3709;13000;7;41;281056;2068
451;926;4087;20000;24;69;1683252;11609
383;941;2527;12000;16;35;193922;1459
472;694;3007;14980;14;42;490246;3522
1161;231;4233;8000;3;25;76314;622
412;537;2373;16000;14;54;718112;5068
626;866;3827;14000;18;49;429709;3104
719;761;2945;6000;5;20;51957;441
609;921;3654;9000;11;26;95334;762
430;604;2852;16000;15;57;747746;5251
421;465;2330;9000;8;28;95424;755
467;199;1853;5000;3;17;44196;380
936;1202;5943;15000;15;51;523421;3756
621;1114;4412;18000;19;62;1587896;10974
454;658;2291;14000;21;42;404489;2924
561;512;2759;13000;11;43;313398;2294
458;753;3791;11000;13;44;140305;1085
1688;1049;4444;3000;5;13;26235;242
374;727;1927;7000;10;23;62529;519
391;246;2014;6000;6;20;51326;436
1038;1570;5889;7000;10;23;64675;541
459;831;3249;16000;15;52;750255;5259
399;153;1270;8000;6;29;77262;627
551;940;3918;15000;16;52;510280;3656
463;369;1787;9000;9;33;95143;758
513;388;2921;9000;6;38;95363;756
998;1005;6624;12000;11;43;198495;1493
692;985;4412;11000;12;39;138395;1073
495;671;3992;15000;16;50;512954;3681
303;493;1779;12000;12;39;190101;1430
420;511;3253;14000;14;58;434910;3127
504;375;1921;9000;9;36;95409;760
603;471;2308;8000;8;31;78538;634
611;1009;3755;10000;14;32;116866;920
389;383;2016;12000;13;39;196840;1472
457;559;2908;10000;10;40;117406;912
468;616;2690;12960;13;47;236143;1743
472;696;2885;10000;12;41;116631;907
398;579;2194;6000;7;23;53889;448
519;637;2927;13000;10;40;280481;2065
390;760;2907;14000;15;43;405384;2925
425;564;2670;10000;12;36;117659;910
463;369;1787;9000;9;33;95143;758
951;1285;6295;13000;15;48;301935;2222
334;239;1512;4000;4;17;36649;318
469;343;2051;6000;6;22;52271;442
659;1143;4414;11000;15;35;136200;1054
295;207;1189;6000;6;19;52138;436
398;499;2841;12000;14;51;189372;1430
982;1357;8088;13000;13;58;313342;2297
472;694;3007;12980;14;42;234122;1742
491;390;2200;10000;9;32;113169;882
592;488;2423;11000;11;35;142919;1104
626;479;2647;7000;6;23;64160;527
428;309;1446;8000;9;28;77289;627
729;948;3742;8000;8;28;77312;622
469;522;3438;16000;12;58;768130;5398
1034;553;3906;5000;5;18;45449;394
458;921;3319;15000;18;54;523267;3754
1388;683;5436;8000;4;28;77918;629
445;499;2497;14980;12;50;490168;3516
1249;485;5151;7000;6;25;62181;516
491;720;2697;13000;14;48;322116;2353
593;438;2368;8000;9;30;77791;631
322;686;2170;12000;15;37;192119;1443
473;393;2290;9000;8;29;94194;746
524;212;2120;5000;4;16;44046;383
559;883;3297;9000;11;28;95295;761
267;338;1677;16000;13;48;758964;5365
550;534;2574;6000;6;22;52300;442
400;596;2984;14000;15;53;435133;3126
518;1011;4629;13000;19;51;274317;2025
463;352;2725;9000;9;33;95963;765
588;1098;4011;13000;13;39;272348;2012
472;662;2806;11000;11;37;141894;1089
795;193;2358;6000;2;20;51975;442
537;393;2699;11000;11;37;136052;1048
372;307;1670;5000;6;17;44702;388
363;193;1393;3000;3;11;26733;256
544;568;2991;18000;12;48;1480451;10207
336;207;1398;7000;6;23;64408;534
482;777;2962;12000;15;41;185064;1390
610;908;3553;10000;12;33;116003;906
491;682;3420;16000;16;55;744442;5239
568;629;2968;10000;10;36;116137;903
434;410;2051;8000;7;26;76752;625
356;482;1947;12000;15;35;192013;1445
518;645;3150;13000;12;45;323224;2355
581;318;1772;4000;5;14;38540;339
374;295;2389;7000;5;24;63766;526
373;258;1778;10000;8;35;111268;881
415;983;2726;16980;17;53;1145830;8011
272;384;1681;6000;11;19;54367;453
383;117;1207;3000;3;12;26259;255
221;217;1041;4000;5;16;37276;332
629;794;2775;8000;12;31;77556;626
348;268;1411;9000;8;32;93077;740
488;861;3700;10980;14;36;124825;970
601;844;3230;7000;9;25;64493;540
419;352;2304;14000;13;50;409374;2971
551;1134;4503;17000;19;56;1139907;8035
608;961;5009;11000;14;40;141186;1085
434;524;2006;8000;9;25;80922;649
1114;1288;6011;12000;11;42;198844;1500
655;834;3169;7000;9;21;65007;546
1742;222;8588;9000;2;27;95059;750
415;447;2187;13000;14;40;317567;2320
1229;554;4554;7000;9;30;63510;532
909;1058;5934;18000;12;59;1560259;10764
807;561;4348;8000;8;28;80966;647
314;312;1395;8000;8;28;76475;616
695;571;3091;7000;6;22;64225;533
608;961;5009;11000;14;40;141186;1085
513;402;2416;10000;13;38;114237;887
301;292;1427;8000;9;28;76037;613
303;168;1070;6000;6;24;53574;447
545;654;3032;9000;11;32;93752;751
505;305;2379;11980;8;39;176098;1321
465;303;2376;8000;9;34;77204;632
620;367;3724;7000;4;23;64790;531
441;592;2745;11000;11;36;139845;1079
613;906;3617;12000;12;43;202664;1524
271;324;1735;9000;9;32;93743;749
404;301;1798;7000;6;26;65783;540
1222;900;4333;7000;7;17;64032;531
417;717;2663;10000;13;42;115986;902
351;406;1787;5000;6;20;45224;389
472;417;2691;11000;6;40;137890;1062
559;204;1016;4000;3;14;37821;338
276;493;1710;9000;11;28;91926;732
437;740;2933;13000;13;40;305133;2236
393;1047;2556;15980;27;55;792231;5565
761;508;2823;6000;6;24;52994;444
475;865;3162;14000;17;43;413977;2979
374;453;1681;7000;11;24;62642;518
1101;462;4194;7000;5;23;63902;524
402;326;1933;10000;10;42;111880;876
467;397;2249;10000;8;32;113320;887
594;365;2520;7000;7;28;64188;534
629;794;2775;10000;12;31;115743;903
950;567;4242;13000;6;37;284995;2097
474;624;3080;11000;11;40;140725;1090
580;314;2066;6000;5;22;53004;450
321;613;2290;13000;15;45;330299;2409
328;172;1010;7000;5;21;64376;532
273;393;1746;10000;10;39;112969;889
629;351;2530;10000;7;34;113086;890
618;931;3672;10000;12;34;116269;904
403;301;1467;4000;5;19;36894;324
390;212;1353;4000;6;19;36405;327
307;247;1408;8000;7;28;76427;616
375;899;3197;14000;15;44;426383;3067
418;759;2804;13000;16;40;299536;2190
173;213;1045;6980;7;22;64577;534
922;864;4066;10000;8;37;112191;876
623;799;3485;11000;12;35;141365;1094
457;682;2601;10000;10;35;116213;907
413;369;1616;6000;7;23;52494;441
438;332;2009;12000;10;44;196455;1474
488;167;2194;7000;5;27;64586;531
294;316;1372;10000;10;33;117659;926
631;493;2532;9000;9;31;96815;762
558;1080;3773;11000;14;36;143209;1101
1037;883;5356;11000;8;35;139795;1072
330;483;2465;13000;14;45;329569;2391
923;767;5188;11000;10;40;139754;1080
173;84;662;1950;2;7;19507;191
373;776;2951;18000;20;60;1545103;10697
415;584;2525;13000;14;41;314351;2294
404;603;1643;6000;8;25;53022;450
1260;572;6088;8000;5;26;80057;646
375;680;2681;12000;14;39;204371;1533
1034;1034;5715;11000;10;34;135728;1048
472;322;1994;9000;8;30;94434;749
629;414;2453;8000;7;29;75155;611
436;175;1493;6000;3;22;52476;447
1021;2079;7406;13000;14;37;308555;2271
631;802;3020;9000;10;27;95766;767
619;498;2884;5000;5;21;45070;393
453;612;2931;15000;16;45;514222;3675
1888;1163;7418;7000;9;29;65161;557
416;238;1530;5000;5;19;45182;396
